"ID","Title","Content","Excerpt","Slug","Status","Parent","Order","Author","Date","Allow Comments","Allow Pingbacks","Categories","Tags","Section","Role Category"
"","Set Up Your Team","<h1>Set Up Your Team</h1>
<p>Strong team setup prevents downstream problems in events, attendance, travel, and communication.</p>
<p>YouthSports keeps the workflow fast, but the details matter. Use this guide to avoid rework.</p>

<h2>Before you start</h2>
<ul>
<li>Confirm you are in the right organization and season.</li>
<li>Verify your team assignment and active athletes.</li>
<li>Check required feature access for your workflow.</li>
</ul>

<h2>Step-by-step</h2>
<ol>
<li>Open your team in admin routes.</li>
<li>Review current season and active roster context.</li>
<li>Confirm event, attendance, and communication surfaces load correctly.</li>
<li>Run one test flow before publishing to families.</li>
</ol>

<h2>Why this can fail</h2>
<ul>
<li>Wrong team selected before edits.</li>
<li>Outdated season context.</li>
<li>Missing feature entitlement for key pages.</li>
</ul>

<h2>Done right looks like</h2>
<ul>
<li>Team context is correct and stable.</li>
<li>Core workflows open without blockers.</li>
<li>No unexpected role or access errors appear.</li>
</ul>

<p>When this flow is clean, families get clearer updates, and staff spend less time fixing avoidable issues.</p>","Prepare your team context before real operations start.","set-up-your-team","publish","","1","admin","2026-02-19 08:51:30","closed","closed","Getting Started","coaches,teams,seasons,setup,roster","Getting Started","Coaches"
"","Add Athletes to a Roster","<h1>Add Athletes to a Roster</h1>
<p>Roster quality starts with using existing athlete records and clean team membership updates.</p>
<p>YouthSports keeps the workflow fast, but the details matter. Use this guide to avoid rework.</p>

<h2>Before you start</h2>
<ul>
<li>Confirm target team and season are correct.</li>
<li>Search for existing athlete profile first.</li>
<li>Keep source roster list ready for reconciliation.</li>
</ul>

<h2>Step-by-step</h2>
<ol>
<li>Open team roster tools.</li>
<li>Search and select existing athletes.</li>
<li>Add athlete memberships for the right season.</li>
<li>Review final roster count and names.</li>
</ol>

<h2>Why this can fail</h2>
<ul>
<li>Creating duplicate athlete profiles.</li>
<li>Adding athletes to wrong season.</li>
<li>Skipping final roster count check.</li>
</ul>

<h2>Done right looks like</h2>
<ul>
<li>Roster has correct athletes once.</li>
<li>Memberships are tied to correct season.</li>
<li>Team count matches planning list.</li>
</ul>

<p>When this flow is clean, families get clearer updates, and staff spend less time fixing avoidable issues.</p>","Add athletes fast without creating duplicate records.","add-athletes-to-a-roster","publish","","2","admin","2026-02-19 08:51:30","closed","closed","Rosters","coaches,roster,athletes,teams,memberships","Rosters","Coaches"
"","Review Guardian Requests","<h1>Review Guardian Requests</h1>
<p>Guardian request review protects athlete data while linking the right adults to the right profiles.</p>
<p>YouthSports keeps the workflow fast, but the details matter. Use this guide to avoid rework.</p>

<h2>Before you start</h2>
<ul>
<li>Open guardian requests queue.</li>
<li>Confirm athlete identity details.</li>
<li>Check request age and current status.</li>
</ul>

<h2>Step-by-step</h2>
<ol>
<li>Open /admin/guardian-requests.</li>
<li>Review each pending request and athlete match.</li>
<li>Approve valid requests and deny invalid ones with reason.</li>
<li>Recheck queue for remaining pending items.</li>
</ol>

<h2>Why this can fail</h2>
<ul>
<li>Approving request without identity check.</li>
<li>Leaving old requests unresolved.</li>
<li>No denial reason on rejected requests.</li>
</ul>

<h2>Done right looks like</h2>
<ul>
<li>Valid guardians are linked quickly.</li>
<li>Invalid requests are clearly denied.</li>
<li>Queue stays current and manageable.</li>
</ul>

<p>When this flow is clean, families get clearer updates, and staff spend less time fixing avoidable issues.</p>","Handle guardian attachment requests with confidence.","review-guardian-requests","publish","","3","admin","2026-02-19 08:51:30","closed","closed","Rosters","coaches,guardians,requests,approval,athletes","Rosters","Coaches"
"","Create an Event","<h1>Create an Event</h1>
<p>Event quality is operations quality. A clear event record reduces message noise and day-of confusion.</p>
<p>YouthSports keeps the workflow fast, but the details matter. Use this guide to avoid rework.</p>

<h2>Before you start</h2>
<ul>
<li>Confirm date, time, and location.</li>
<li>Decide audience and event type.</li>
<li>Prepare notes families need to execute.</li>
</ul>

<h2>Step-by-step</h2>
<ol>
<li>Open event create route.</li>
<li>Enter title, date, time, and location.</li>
<li>Set event type and audience fields.</li>
<li>Enable RSVP if needed and publish.</li>
<li>Verify event appears in calendar views.</li>
</ol>

<h2>Why this can fail</h2>
<ul>
<li>Publishing with placeholder details.</li>
<li>Wrong timezone or time fields.</li>
<li>Forgetting RSVP configuration.</li>
</ul>

<h2>Done right looks like</h2>
<ul>
<li>Event is complete and actionable.</li>
<li>Families see it in calendar quickly.</li>
<li>Follow-up questions drop.</li>
</ul>

<p>When this flow is clean, families get clearer updates, and staff spend less time fixing avoidable issues.</p>","Publish clear events that families can act on immediately.","create-an-event","publish","","4","admin","2026-02-19 08:51:30","closed","closed","Events","coaches,events,schedule,calendar,publish","Events","Coaches"
"","Edit Event Details","<h1>Edit Event Details</h1>
<p>Schedule changes happen. Fast and precise updates keep families aligned and reduce missed arrivals.</p>
<p>YouthSports keeps the workflow fast, but the details matter. Use this guide to avoid rework.</p>

<h2>Before you start</h2>
<ul>
<li>Confirm what changed and who is affected.</li>
<li>Check if event is already close to start.</li>
<li>Prepare one clear update message.</li>
</ul>

<h2>Step-by-step</h2>
<ol>
<li>Open event detail and choose edit.</li>
<li>Update only fields that changed.</li>
<li>Save and verify event renders correctly.</li>
<li>Post announcement if change is high impact.</li>
</ol>

<h2>Why this can fail</h2>
<ul>
<li>Editing wrong event.</li>
<li>Changing too many fields without reason.</li>
<li>No communication for major schedule changes.</li>
</ul>

<h2>Done right looks like</h2>
<ul>
<li>Only intended details changed.</li>
<li>Calendar reflects final version.</li>
<li>Families know exactly what changed.</li>
</ul>

<p>When this flow is clean, families get clearer updates, and staff spend less time fixing avoidable issues.</p>","Update event details without creating confusion.","edit-event-details","publish","","5","admin","2026-02-19 08:51:30","closed","closed","Events","coaches,events,updates,schedule,changes","Events","Coaches"
"","Choose an RSVP Type","<h1>Choose an RSVP Type</h1>
<p>RSVP type controls attendance signal quality. Choose the mode that matches the operational decision you need.</p>
<p>YouthSports keeps the workflow fast, but the details matter. Use this guide to avoid rework.</p>

<h2>Before you start</h2>
<ul>
<li>Know whether response is family-level or athlete-level.</li>
<li>Set clear response deadline.</li>
<li>Confirm event audience.</li>
</ul>

<h2>Step-by-step</h2>
<ol>
<li>Open event configuration.</li>
<li>Set RSVP mode to general or athlete-specific.</li>
<li>Publish event and monitor incoming responses.</li>
<li>Follow up with non-responders before deadline.</li>
</ol>

<h2>Why this can fail</h2>
<ul>
<li>Using general RSVP for athlete-specific events.</li>
<li>No RSVP deadline buffer.</li>
<li>Ignoring missing responses.</li>
</ul>

<h2>Done right looks like</h2>
<ul>
<li>Response data matches planning needs.</li>
<li>Attendance prediction is more accurate.</li>
<li>Coaches can make faster decisions.</li>
</ul>

<p>When this flow is clean, families get clearer updates, and staff spend less time fixing avoidable issues.</p>","Pick general or athlete RSVP based on real planning needs.","choose-an-rsvp-type","publish","","6","admin","2026-02-19 08:51:30","closed","closed","Events","coaches,rsvp,attendance,events,planning","Events","Coaches"
"","Take Attendance Fast","<h1>Take Attendance Fast</h1>
<p>Attendance logs are more than compliance. They drive follow-up and reveal reliability trends over time.</p>
<p>YouthSports keeps the workflow fast, but the details matter. Use this guide to avoid rework.</p>

<h2>Before you start</h2>
<ul>
<li>Open the correct event roster.</li>
<li>Confirm athlete list is current.</li>
<li>Assign one person to record attendance.</li>
</ul>

<h2>Step-by-step</h2>
<ol>
<li>Open attendance for the event.</li>
<li>Mark each athlete present, absent, or late.</li>
<li>Resolve missing names before final save.</li>
<li>Submit attendance and confirm persistence.</li>
</ol>

<h2>Why this can fail</h2>
<ul>
<li>Recording from memory after event.</li>
<li>Leaving blank statuses.</li>
<li>Saving before roster is complete.</li>
</ul>

<h2>Done right looks like</h2>
<ul>
<li>Every athlete has a status.</li>
<li>Record is saved and reviewable.</li>
<li>Follow-up data is trustworthy.</li>
</ul>

<p>When this flow is clean, families get clearer updates, and staff spend less time fixing avoidable issues.</p>","Capture attendance quickly with fewer errors.","take-attendance-fast","publish","","7","admin","2026-02-19 08:51:30","closed","closed","Attendance","coaches,attendance,events,status,tracking","Attendance","Coaches"
"","Post Team Announcements","<h1>Post Team Announcements</h1>
<p>Announcements should be clear, scoped, and actionable. Good announcement hygiene reduces chat chaos.</p>
<p>YouthSports keeps the workflow fast, but the details matter. Use this guide to avoid rework.</p>

<h2>Before you start</h2>
<ul>
<li>Decide team-specific or org-wide scope.</li>
<li>Write one headline and one next action.</li>
<li>Set urgent flag only when truly needed.</li>
</ul>

<h2>Step-by-step</h2>
<ol>
<li>Open announcements in Huddles.</li>
<li>Select team and create announcement.</li>
<li>Add title and clear body copy.</li>
<li>Publish and verify it appears in list.</li>
</ol>

<h2>Why this can fail</h2>
<ul>
<li>Org-wide post for team-only issue.</li>
<li>Long post with no clear action.</li>
<li>Overuse of urgent priority.</li>
</ul>

<h2>Done right looks like</h2>
<ul>
<li>Right audience sees right message.</li>
<li>Action is obvious in one read.</li>
<li>Fewer clarifying replies are needed.</li>
</ul>

<p>When this flow is clean, families get clearer updates, and staff spend less time fixing avoidable issues.</p>","Send high-signal updates to the right audience.","post-team-announcements","publish","","8","admin","2026-02-19 08:51:30","closed","closed","Communication","coaches,announcements,messaging,teams,updates","Communication","Coaches"
"","Use Team Chat Channels","<h1>Use Team Chat Channels</h1>
<p>Chat should accelerate decisions, not scatter information. Channel discipline keeps teams responsive and clear.</p>
<p>YouthSports keeps the workflow fast, but the details matter. Use this guide to avoid rework.</p>

<h2>Before you start</h2>
<ul>
<li>Confirm team channels are available.</li>
<li>Choose proper channel before posting.</li>
<li>Keep announcements separate from chat when needed.</li>
</ul>

<h2>Step-by-step</h2>
<ol>
<li>Open /portal/huddles/chat.</li>
<li>Select team, org, or DM channel.</li>
<li>Post concise message with clear ask.</li>
<li>Use thread replies for follow-up context.</li>
</ol>

<h2>Why this can fail</h2>
<ul>
<li>Posting in wrong channel.</li>
<li>Mixing official announcements into chat stream.</li>
<li>No follow-up in thread for active topic.</li>
</ul>

<h2>Done right looks like</h2>
<ul>
<li>Messages stay in the right channel.</li>
<li>Replies stay contextual.</li>
<li>Team response time improves.</li>
</ul>

<p>When this flow is clean, families get clearer updates, and staff spend less time fixing avoidable issues.</p>","Use channels for fast discussion while keeping context organized.","use-team-chat-channels","publish","","9","admin","2026-02-19 08:51:30","closed","closed","Communication","coaches,huddles,chat,channels,team-communication","Communication","Coaches"
"","Build a Travel Plan","<h1>Build a Travel Plan</h1>
<p>Travel planning works when schedule, meeting points, and contacts are accurate before publish.</p>
<p>YouthSports keeps the workflow fast, but the details matter. Use this guide to avoid rework.</p>

<h2>Before you start</h2>
<ul>
<li>Confirm event dates and locations.</li>
<li>Prepare itinerary checkpoints.</li>
<li>Identify support contacts.</li>
</ul>

<h2>Step-by-step</h2>
<ol>
<li>Open travel plan creation route.</li>
<li>Set dates, destination, and meeting location info.</li>
<li>Add key notes and itinerary context.</li>
<li>Publish and verify travel detail page quality.</li>
</ol>

<h2>Why this can fail</h2>
<ul>
<li>Publishing before event details are final.</li>
<li>Missing meeting location information.</li>
<li>No clear contact for issues.</li>
</ul>

<h2>Done right looks like</h2>
<ul>
<li>Travel page is actionable and complete.</li>
<li>Families can navigate without extra messages.</li>
<li>Staff corrections are minimal.</li>
</ul>

<p>When this flow is clean, families get clearer updates, and staff spend less time fixing avoidable issues.</p>","Create travel plans families can execute from one page.","build-a-travel-plan","publish","","10","admin","2026-02-19 08:51:30","closed","closed","Travel","coaches,travel,events,itinerary,logistics","Travel","Coaches"
