"ID","Title","Content","Excerpt","Slug","Status","Parent","Order","Author","Date","Allow Comments","Allow Pingbacks","Categories","Tags","Section","Role Category"
"","Import Athletes in Minutes: CSV Playbook for Clean Rosters","<h1>Import Athletes in Minutes: CSV Playbook for Clean Rosters</h1>
<p>Great seasons start with clean data. This playbook helps you import athletes quickly, catch errors early, and keep one reliable profile per athlete.</p>

<h2>What you will achieve</h2>
<ul>
<li>Import large athlete lists without duplicate profiles.</li>
<li>Map required fields correctly on first pass.</li>
<li>Reduce manual cleanup after import.</li>
</ul>

<h2>Before you start</h2>
<ul>
<li>Use one athlete per CSV row.</li>
<li>Normalize names, dates, and emails before upload.</li>
<li>Confirm target teams and seasons already exist.</li>
</ul>

<h2>Step-by-step workflow</h2>
<ol>
<li>Open Import Athletes and upload your CSV.</li>
<li>Map columns to athlete fields and verify required indicators.</li>
<li>Run preview and resolve failed rows before import.</li>
<li>Complete import and compare total imported vs source total.</li>
<li>Spot-check athlete profiles and team assignment readiness.</li>
</ol>

<h2>Common mistakes to avoid</h2>
<ul>
<li>Mixed date formats in one file.</li>
<li>Creating new athletes when profile already exists.</li>
<li>Skipping post-import quality check.</li>
</ul>

<h2>Power move</h2>
<p>Keep one locked master CSV template with validated columns and a change log.</p>

<h2>Done right looks like</h2>
<ul>
<li>Athletes appear once with complete data.</li>
<li>Roster assignment can start immediately.</li>
<li>Support requests drop after launch.</li>
</ul>

<p>Run this workflow consistently and your organization gets faster, clearer, and more reliable for families, staff, and athletes.</p>","Move from spreadsheet to roster with less cleanup and fewer duplicates.","import-athletes-csv-playbook-clean-rosters","publish","","1","admin","2026-02-19 05:24:35","closed","closed","Help, Organization Admins, Getting Started","athletes,rosters,import,csv,data-quality,organization-admins","Getting Started","Organization Admins"
"","Audit Your Organization Structure Before Registration Opens","<h1>Audit Your Organization Structure Before Registration Opens</h1>
<p>Most registration issues start with structure mistakes. A short hierarchy audit keeps teams, seasons, and downstream workflows aligned before families enter the system.</p>

<h2>What you will achieve</h2>
<ul>
<li>Catch structure issues before they reach families.</li>
<li>Align sports, programs, levels, teams, and seasons.</li>
<li>Prevent payment and roster assignment errors.</li>
</ul>

<h2>Before you start</h2>
<ul>
<li>Finalize naming conventions.</li>
<li>Archive old test structure.</li>
<li>Assign one owner for final sign-off.</li>
</ul>

<h2>Step-by-step workflow</h2>
<ol>
<li>Review active sports and remove placeholders.</li>
<li>Verify program and level naming consistency.</li>
<li>Confirm every team is attached to the right level and season.</li>
<li>Validate season date ranges and active state.</li>
<li>Run one parent-path test before registration opens.</li>
</ol>

<h2>Common mistakes to avoid</h2>
<ul>
<li>Leaving old test teams active.</li>
<li>Using duplicate or unclear level names.</li>
<li>Launching before team-season verification.</li>
</ul>

<h2>Power move</h2>
<p>Use a two-admin pre-launch checklist with explicit sign-off fields.</p>

<h2>Done right looks like</h2>
<ul>
<li>Families see the correct options immediately.</li>
<li>Athletes flow to correct teams.</li>
<li>Admin cleanup after launch is minimal.</li>
</ul>

<p>Run this workflow consistently and your organization gets faster, clearer, and more reliable for families, staff, and athletes.</p>","Validate your structure before launch to avoid downstream setup failures.","audit-organization-structure-before-registration","publish","","2","admin","2026-02-19 05:24:35","closed","closed","Help, Organization Admins, Getting Started","organization,setup,sports,programs,levels,teams,seasons","Getting Started","Organization Admins"
"","Attach Existing Athletes to Teams Without Duplicates","<h1>Attach Existing Athletes to Teams Without Duplicates</h1>
<p>Team moves should be operationally simple. This workflow keeps athlete records clean while assigning athletes to the right teams fast.</p>

<h2>What you will achieve</h2>
<ul>
<li>Assign athletes to teams using existing profiles.</li>
<li>Protect athlete history and reporting consistency.</li>
<li>Avoid duplicate records during bulk roster work.</li>
</ul>

<h2>Before you start</h2>
<ul>
<li>Confirm destination teams are active.</li>
<li>Filter out archived athletes.</li>
<li>Decide single-team vs multi-team assignment rules.</li>
</ul>

<h2>Step-by-step workflow</h2>
<ol>
<li>Open roster management and filter to target group.</li>
<li>Search for existing athlete records and verify identity.</li>
<li>Attach athlete to correct team using existing record.</li>
<li>Use bulk actions for volume changes in controlled batches.</li>
<li>Reconcile final team counts vs planning sheet.</li>
</ol>

<h2>Common mistakes to avoid</h2>
<ul>
<li>Creating new athlete profiles for existing athletes.</li>
<li>Bulk actions without identity checks.</li>
<li>Ignoring roster count mismatches.</li>
</ul>

<h2>Power move</h2>
<p>Run assignment in level-based batches and reconcile after each batch.</p>

<h2>Done right looks like</h2>
<ul>
<li>One athlete profile per athlete.</li>
<li>Team rosters match approved plans.</li>
<li>Attendance and communications stay accurate.</li>
</ul>

<p>Run this workflow consistently and your organization gets faster, clearer, and more reliable for families, staff, and athletes.</p>","Assign athletes to teams while preserving one source of truth.","attach-existing-athletes-to-teams-without-duplicates","publish","","3","admin","2026-02-19 05:24:35","closed","closed","Help, Organization Admins, Getting Started","athletes,teams,rosters,assignment,organization-admins","Getting Started","Organization Admins"
"","Link Guardians and Keep Family Records Accurate","<h1>Link Guardians and Keep Family Records Accurate</h1>
<p>Family records power communication and approvals. Clean guardian linking ensures alerts, payment reminders, and updates go to the right contacts every time.</p>

<h2>What you will achieve</h2>
<ul>
<li>Attach guardians to athletes correctly.</li>
<li>Reduce duplicate guardian records.</li>
<li>Improve communication delivery rates.</li>
</ul>

<h2>Before you start</h2>
<ul>
<li>Verify guardian emails before linking.</li>
<li>Confirm athlete profiles are complete.</li>
<li>Define dispute and correction policy.</li>
</ul>

<h2>Step-by-step workflow</h2>
<ol>
<li>Search for existing guardian before creating a new one.</li>
<li>Link existing guardian records to athlete profiles.</li>
<li>Create new guardian record only when no match exists.</li>
<li>Validate primary contact and relationship fields.</li>
<li>Send a test communication to verify visibility and delivery.</li>
</ol>

<h2>Common mistakes to avoid</h2>
<ul>
<li>Duplicate guardian profiles for one email.</li>
<li>Linking without athlete identity verification.</li>
<li>Skipping communication test.</li>
</ul>

<h2>Power move</h2>
<p>Use one canonical guardian email per household and enforce it in staff process.</p>

<h2>Done right looks like</h2>
<ul>
<li>Guardian relationships are accurate.</li>
<li>Messages reach intended recipients.</li>
<li>Family support friction drops.</li>
</ul>

<p>Run this workflow consistently and your organization gets faster, clearer, and more reliable for families, staff, and athletes.</p>","Build reliable guardian links so updates and approvals reach the right adults.","link-guardians-and-keep-family-records-accurate","publish","","4","admin","2026-02-19 05:24:35","closed","closed","Help, Organization Admins, Getting Started","guardians,families,athletes,contacts,data-quality","Getting Started","Organization Admins"
"","Invite Staff and Assign the Right Admin Permissions","<h1>Invite Staff and Assign the Right Admin Permissions</h1>
<p>Access should be fast and safe. Role-based onboarding gives each staff member what they need without exposing settings they should not control.</p>

<h2>What you will achieve</h2>
<ul>
<li>Invite staff with correct role scope.</li>
<li>Reduce access errors across admin workflows.</li>
<li>Improve accountability and auditability.</li>
</ul>

<h2>Before you start</h2>
<ul>
<li>Define role capabilities by responsibility.</li>
<li>Prepare invite list with official emails.</li>
<li>Set permission grant and revoke owners.</li>
</ul>

<h2>Step-by-step workflow</h2>
<ol>
<li>Open Organization Users and start invites.</li>
<li>Assign minimum required role for each invite.</li>
<li>Verify access after invite acceptance.</li>
<li>Test role boundaries with non-admin account.</li>
<li>Review and remove stale access regularly.</li>
</ol>

<h2>Common mistakes to avoid</h2>
<ul>
<li>Giving full admin rights by default.</li>
<li>Leaving old permissions active after role change.</li>
<li>Shared logins between staff members.</li>
</ul>

<h2>Power move</h2>
<p>Run a monthly permission audit with one owner and one reviewer.</p>

<h2>Done right looks like</h2>
<ul>
<li>Staff can do work without blockers.</li>
<li>Sensitive areas remain controlled.</li>
<li>Role changes happen cleanly and quickly.</li>
</ul>

<p>Run this workflow consistently and your organization gets faster, clearer, and more reliable for families, staff, and athletes.</p>","Onboard staff quickly with role-based access that stays secure.","invite-staff-and-assign-admin-permissions","publish","","5","admin","2026-02-19 05:24:35","closed","closed","Help, Organization Admins, Getting Started","users,roles,permissions,staff,security","Getting Started","Organization Admins"
"","Configure Fees for Teams vs Individual Athletes","<h1>Configure Fees for Teams vs Individual Athletes</h1>
<p>Billing clarity starts at setup. Choosing team scope vs athlete scope the right way prevents charge confusion and support churn.</p>

<h2>What you will achieve</h2>
<ul>
<li>Match fee scope to program structure.</li>
<li>Prevent incorrect charge assignments.</li>
<li>Launch billing with predictable outcomes.</li>
</ul>

<h2>Before you start</h2>
<ul>
<li>Confirm billing target model.</li>
<li>Set due dates and installment policy.</li>
<li>Verify payment configuration is active.</li>
</ul>

<h2>Step-by-step workflow</h2>
<ol>
<li>Create a fee in Payments.</li>
<li>Set amount, due date, and installment behavior.</li>
<li>Choose assignment scope: team or individual athlete.</li>
<li>Review assignment preview count before publish.</li>
<li>Publish and monitor first-day payment activity.</li>
</ol>

<h2>Common mistakes to avoid</h2>
<ul>
<li>Combining multiple scopes in one unclear fee.</li>
<li>Publishing without count validation.</li>
<li>Changing core fee rules after payments start.</li>
</ul>

<h2>Power move</h2>
<p>Use fee names that include season, scope, and due month.</p>

<h2>Done right looks like</h2>
<ul>
<li>Correct people see correct charges.</li>
<li>Collection timelines stay clear.</li>
<li>Finance reconciliation is faster.</li>
</ul>

<p>Run this workflow consistently and your organization gets faster, clearer, and more reliable for families, staff, and athletes.</p>","Choose the right fee scope and prevent billing confusion before invoices go out.","configure-fees-for-teams-vs-individual-athletes","publish","","6","admin","2026-02-19 05:24:35","closed","closed","Help, Organization Admins, Getting Started","payments,fees,billing,teams,athletes","Getting Started","Organization Admins"
"","Track Partial Payments and Close Outstanding Balances","<h1>Track Partial Payments and Close Outstanding Balances</h1>
<p>Partial payments are normal. Confusion is optional. This workflow keeps balances visible and follow-up targeted so open amounts close faster.</p>

<h2>What you will achieve</h2>
<ul>
<li>Monitor partial and overdue balances clearly.</li>
<li>Target follow-up where it matters most.</li>
<li>Reduce aging balances over time.</li>
</ul>

<h2>Before you start</h2>
<ul>
<li>Confirm fee due dates are accurate.</li>
<li>Set weekly review cadence.</li>
<li>Prepare standard follow-up language.</li>
</ul>

<h2>Step-by-step workflow</h2>
<ol>
<li>Filter Payments by partial and overdue states.</li>
<li>Review balance details by athlete or team.</li>
<li>Confirm recent transactions are posted.</li>
<li>Send targeted reminders with exact amount due.</li>
<li>Track outcomes and escalate unresolved cases.</li>
</ol>

<h2>Common mistakes to avoid</h2>
<ul>
<li>Treating partial as fully resolved.</li>
<li>Sending generic reminders without amounts.</li>
<li>Failing to reconcile after manual adjustments.</li>
</ul>

<h2>Power move</h2>
<p>Hold a weekly 15-minute balance huddle with one accountable owner.</p>

<h2>Done right looks like</h2>
<ul>
<li>Balance visibility is real-time.</li>
<li>Collections improve without chaos.</li>
<li>Families get clear and respectful communication.</li>
</ul>

<p>Run this workflow consistently and your organization gets faster, clearer, and more reliable for families, staff, and athletes.</p>","Use a repeatable follow-up rhythm to convert partials into paid balances.","track-partial-payments-and-close-outstanding-balances","publish","","7","admin","2026-02-19 05:24:35","closed","closed","Help, Organization Admins, Getting Started","payments,partial-payments,balances,collections","Getting Started","Organization Admins"
"","Configure Uniform Catalogs, Sizes, and Deadlines","<h1>Configure Uniform Catalogs, Sizes, and Deadlines</h1>
<p>Uniform ordering should feel smooth. Clean catalog setup with clear sizing and deadlines removes confusion and speeds completion rates.</p>

<h2>What you will achieve</h2>
<ul>
<li>Publish complete uniform options by team.</li>
<li>Collect clean sizing data.</li>
<li>Reduce incomplete submissions before lock date.</li>
</ul>

<h2>Before you start</h2>
<ul>
<li>Confirm product and size matrix with vendor.</li>
<li>Set final submission deadline.</li>
<li>Decide required fields for each item.</li>
</ul>

<h2>Step-by-step workflow</h2>
<ol>
<li>Create or edit uniforms in admin tools.</li>
<li>Define available sizes and guidance notes.</li>
<li>Set clear deadlines with timezone context.</li>
<li>Assign uniforms to appropriate teams or groups.</li>
<li>Preview user flow and publish.</li>
</ol>

<h2>Common mistakes to avoid</h2>
<ul>
<li>Missing size options on live items.</li>
<li>Unclear deadline messaging.</li>
<li>Changing required fields after launch.</li>
</ul>

<h2>Power move</h2>
<p>Send launch and midpoint reminders with direct action links.</p>

<h2>Done right looks like</h2>
<ul>
<li>Families complete selections faster.</li>
<li>Staff sees fewer exceptions.</li>
<li>Vendor handoff is cleaner.</li>
</ul>

<p>Run this workflow consistently and your organization gets faster, clearer, and more reliable for families, staff, and athletes.</p>","Set uniform options clearly so ordering is simple for families and staff.","configure-uniform-catalogs-sizes-and-deadlines","publish","","8","admin","2026-02-19 05:24:35","closed","closed","Help, Organization Admins, Getting Started","uniforms,sizes,deadlines,operations,orders","Getting Started","Organization Admins"
"","Fix Uniform Order Exceptions Before Order Lock","<h1>Fix Uniform Order Exceptions Before Order Lock</h1>
<p>Deadline day should be execution, not repair. Proactive exception management keeps final uniform submission clean and on schedule.</p>

<h2>What you will achieve</h2>
<ul>
<li>Identify exceptions early.</li>
<li>Resolve missing fields before lock.</li>
<li>Submit complete and accurate final orders.</li>
</ul>

<h2>Before you start</h2>
<ul>
<li>Know vendor cutoffs.</li>
<li>Define exception categories.</li>
<li>Prepare correction templates.</li>
</ul>

<h2>Step-by-step workflow</h2>
<ol>
<li>Filter Uniform Orders for incomplete or invalid records.</li>
<li>Prioritize exceptions by urgency and team.</li>
<li>Contact families with exact corrections required.</li>
<li>Track corrections daily until closure.</li>
<li>Re-run exception filter 24 hours before lock.</li>
</ol>

<h2>Common mistakes to avoid</h2>
<ul>
<li>Waiting until final day to review exceptions.</li>
<li>Sending vague requests without specifics.</li>
<li>Submitting final order before zero-check.</li>
</ul>

<h2>Power move</h2>
<p>Assign one uniform operations owner for the season.</p>

<h2>Done right looks like</h2>
<ul>
<li>Exception queue reaches zero or documented approval.</li>
<li>Final export is vendor-ready.</li>
<li>Teams receive uniforms on time.</li>
</ul>

<p>Run this workflow consistently and your organization gets faster, clearer, and more reliable for families, staff, and athletes.</p>","Catch missing sizes and invalid entries early so final orders ship on time.","fix-uniform-order-exceptions-before-order-lock","publish","","9","admin","2026-02-19 05:24:35","closed","closed","Help, Organization Admins, Getting Started","uniforms,exceptions,orders,deadlines,operations","Getting Started","Organization Admins"
"","Send Organization-Wide vs Team-Targeted Announcements","<h1>Send Organization-Wide vs Team-Targeted Announcements</h1>
<p>When every message goes to everyone, engagement drops. Audience targeting keeps communication relevant and improves response speed on important updates.</p>

<h2>What you will achieve</h2>
<ul>
<li>Choose the right audience each time.</li>
<li>Increase response on critical updates.</li>
<li>Reduce notification fatigue.</li>
</ul>

<h2>Before you start</h2>
<ul>
<li>Define target audience clearly.</li>
<li>Set urgency level and send timing.</li>
<li>Draft one clear call to action.</li>
</ul>

<h2>Step-by-step workflow</h2>
<ol>
<li>Create announcement with concise headline.</li>
<li>Choose organization-wide or team-targeted audience.</li>
<li>Add what changed, who is affected, and what to do next.</li>
<li>Preview mobile readability.</li>
<li>Publish and monitor replies for follow-up needs.</li>
</ol>

<h2>Common mistakes to avoid</h2>
<ul>
<li>Global posts for team-specific updates.</li>
<li>Long copy without clear action.</li>
<li>Overusing urgent labels.</li>
</ul>

<h2>Power move</h2>
<p>Use a four-part message pattern: change, impact, action, deadline.</p>

<h2>Done right looks like</h2>
<ul>
<li>Members get relevant updates.</li>
<li>Critical actions happen faster.</li>
<li>Admin clarifications decrease.</li>
</ul>

<p>Run this workflow consistently and your organization gets faster, clearer, and more reliable for families, staff, and athletes.</p>","Use audience targeting to improve message clarity and response.","send-organization-wide-vs-team-targeted-announcements","publish","","10","admin","2026-02-19 05:24:35","closed","closed","Help, Organization Admins, Getting Started","announcements,communication,teams,notifications","Getting Started","Organization Admins"
