"ID","Title","Content","Excerpt","Slug","Status","Parent","Order","Author","Date","Allow Comments","Allow Pingbacks","Categories","Tags","Section","Role Category"
"","Join a Team with an Invite Code","<h1>Join a Team with an Invite Code</h1>
<p>Invite code join is the fastest path from onboarding to active roster placement.</p>
<p>This article is written for real YouthSports workflows, not generic software steps.</p>

<h2>Before you start</h2>
<ul>
<li>Get an active code from coach or admin.</li>
<li>Sign in, or be ready to sign in and return.</li>
<li>Make sure athlete profile exists in My Athletes.</li>
</ul>

<h2>Step-by-step workflow</h2>
<ol>
<li>Open /portal/join and enter code.</li>
<li>If prompted, sign in or sign up and continue.</li>
<li>Review team and choose athlete and season.</li>
<li>Submit join request.</li>
<li>Open My Athletes and confirm team context appears.</li>
</ol>

<h2>What controls this workflow</h2>
<ul>
<li>Code must be valid and active.</li>
<li>Season must be available.</li>
<li>Duplicate membership blocks creation.</li>
<li>Capacity checks can block completion.</li>
</ul>

<h2>Access and visibility rules</h2>
<ul>
<li>Route is public, submit requires authentication.</li>
<li>Flow is guardian focused because child selection is required.</li>
<li>Feature visibility still depends on entitlement.</li>
</ul>

<h2>Common edge cases and fast fixes</h2>
<ul>
<li>Invalid code: request a fresh code.</li>
<li>Too many attempts: wait and retry once.</li>
<li>No child shown: create athlete first.</li>
<li>Already member: ask staff to resolve membership state.</li>
</ul>

<h2>You are done when</h2>
<ul>
<li>Athlete has active membership in target team and season.</li>
<li>Calendar and team surfaces reflect the new context.</li>
<li>No unresolved join errors remain.</li>
</ul>

<p>YouthSports is designed to keep family logistics clear, fast, and reliable across the season.</p>","Use an invite code to link your athlete to the right team.","join-a-team-with-an-invite-code","publish","","1","admin","2026-02-19 08:10:00","closed","closed","Help, Guardians, Getting Started","guardians,teams,invite-codes,athletes,seasons,rosters,join","Getting Started","Guardians"
"","Join from a Secure Team Invitation Link","<h1>Join from a Secure Team Invitation Link</h1>
<p>Secure join links preserve context through sign in, athlete selection, and approval.</p>
<p>This article is written for real YouthSports workflows, not generic software steps.</p>

<h2>Before you start</h2>
<ul>
<li>Open the exact invitation URL.</li>
<li>Stay in same tab through auth.</li>
<li>Confirm athlete profile exists first.</li>
</ul>

<h2>Step-by-step workflow</h2>
<ol>
<li>Open /portal/join/link?token=...</li>
<li>Allow token validation.</li>
<li>Sign in or sign up if needed.</li>
<li>Select athlete and season.</li>
<li>Submit and review Approved or Pending status.</li>
</ol>

<h2>What controls this workflow</h2>
<ul>
<li>Token must be valid and unexpired.</li>
<li>Some links auto-approve, others require review.</li>
<li>Season options depend on org setup.</li>
<li>Duplicate or full team rules still apply.</li>
</ul>

<h2>Access and visibility rules</h2>
<ul>
<li>Link can be opened while signed out.</li>
<li>Submission requires authenticated user context.</li>
<li>Final status is policy controlled by org.</li>
</ul>

<h2>Common edge cases and fast fixes</h2>
<ul>
<li>Expired token: request a new link.</li>
<li>Already joined: no new request needed.</li>
<li>Network timeout: retry on stable connection.</li>
<li>No season option: ask staff to verify active seasons.</li>
</ul>

<h2>You are done when</h2>
<ul>
<li>Request ends without active error.</li>
<li>Athlete enters team context after approval.</li>
<li>No duplicate profile is created.</li>
</ul>

<p>YouthSports is designed to keep family logistics clear, fast, and reliable across the season.</p>","Use secure join links for auto-approved or pending requests.","join-from-a-secure-team-invitation-link","publish","","2","admin","2026-02-19 08:10:00","closed","closed","Help, Guardians, Getting Started","guardians,join-link,invitations,teams,seasons,approval","Getting Started","Guardians"
"","Create an Athlete Profile and Link Guardians in One Flow","<h1>Create an Athlete Profile and Link Guardians in One Flow</h1>
<p>A complete athlete profile powers schedules, payments, and communications correctly.</p>
<p>This article is written for real YouthSports workflows, not generic software steps.</p>

<h2>Before you start</h2>
<ul>
<li>Prepare legal name and birthdate.</li>
<li>Have medical and emergency details ready.</li>
<li>Collect additional guardian email if needed.</li>
</ul>

<h2>Step-by-step workflow</h2>
<ol>
<li>Open /portal/athletes/new.</li>
<li>Enter required profile details.</li>
<li>Add optional contact and health details.</li>
<li>Add optional additional guardian.</li>
<li>Choose sports played or interested.</li>
<li>Submit and verify athlete appears in list.</li>
</ol>

<h2>What controls this workflow</h2>
<ul>
<li>Current user auto-links as guardian.</li>
<li>Additional guardian email is validated and matched.</li>
<li>Phone and email formats are validated.</li>
<li>Photo upload can fail without blocking create.</li>
</ul>

<h2>Access and visibility rules</h2>
<ul>
<li>Route is parent-only in portal.</li>
<li>Linking is org scoped.</li>
<li>Sports options come from system sports setup.</li>
</ul>

<h2>Common edge cases and fast fixes</h2>
<ul>
<li>Invalid birthdate: correct and retry.</li>
<li>Same guardian email as yours: use another email.</li>
<li>Invalid phone or email: fix format.</li>
<li>Photo upload error: upload later from profile.</li>
</ul>

<h2>You are done when</h2>
<ul>
<li>Athlete appears in My Athletes.</li>
<li>Guardian links reflect expected ownership.</li>
<li>No duplicate athlete exists.</li>
</ul>

<p>YouthSports is designed to keep family logistics clear, fast, and reliable across the season.</p>","Build one complete athlete profile with guardian links from day one.","create-an-athlete-profile-and-link-guardians-in-one-flow","publish","","3","admin","2026-02-19 08:10:00","closed","closed","Help, Guardians, Getting Started","guardians,athletes,profiles,guardian-linking,medical,rosters","Getting Started","Guardians"
"","Request Attachment to an Existing Athlete Profile","<h1>Request Attachment to an Existing Athlete Profile</h1>
<p>Attachment requests protect roster quality while adding the right guardian access.</p>
<p>This article is written for real YouthSports workflows, not generic software steps.</p>

<h2>Before you start</h2>
<ul>
<li>Know athlete name as stored in org.</li>
<li>Choose correct organization if you have multiple.</li>
<li>Use at least two search characters.</li>
</ul>

<h2>Step-by-step workflow</h2>
<ol>
<li>Open /portal/athletes/request-attachment.</li>
<li>Select organization and search athlete.</li>
<li>Review result details.</li>
<li>Submit request.</li>
<li>Track pending, approved, denied, or expired status.</li>
<li>Resubmit only when denied or expired.</li>
</ol>

<h2>What controls this workflow</h2>
<ul>
<li>Parent role in selected org is required.</li>
<li>Approval is admin controlled.</li>
<li>Request state is tracked per athlete.</li>
<li>Expired requests can be resubmitted.</li>
</ul>

<h2>Access and visibility rules</h2>
<ul>
<li>Route is parent only.</li>
<li>Search scope is limited to attachable athletes.</li>
<li>Only approved requests grant direct access.</li>
</ul>

<h2>Common edge cases and fast fixes</h2>
<ul>
<li>No match: broaden search term.</li>
<li>Pending exists: wait for review.</li>
<li>Denied: resolve reason then resubmit.</li>
<li>Approved already: no new request required.</li>
</ul>

<h2>You are done when</h2>
<ul>
<li>Attachment is approved or clearly pending.</li>
<li>Athlete appears in your My Athletes view.</li>
<li>No duplicate profile was created.</li>
</ul>

<p>YouthSports is designed to keep family logistics clear, fast, and reliable across the season.</p>","Attach to an existing athlete profile without creating duplicates.","request-attachment-to-an-existing-athlete-profile","publish","","4","admin","2026-02-19 08:10:00","closed","closed","Help, Guardians, Getting Started","guardians,athletes,attachment,approvals,rosters,organizations","Getting Started","Guardians"
"","Invite Another Guardian and Manage Pending Invites","<h1>Invite Another Guardian and Manage Pending Invites</h1>
<p>Family operations run smoother when the right adults have access to the right child.</p>
<p>This article is written for real YouthSports workflows, not generic software steps.</p>

<h2>Before you start</h2>
<ul>
<li>Open /portal/settings Family section.</li>
<li>Pick the correct child card.</li>
<li>Use a valid guardian email.</li>
</ul>

<h2>Step-by-step workflow</h2>
<ol>
<li>Click Invite in child Guardians section.</li>
<li>Enter email and review match indicator.</li>
<li>Submit invite and confirm pending row.</li>
<li>Use Resend for missed invite emails.</li>
<li>Use Cancel Invite to revoke old pending requests.</li>
</ol>

<h2>What controls this workflow</h2>
<ul>
<li>Invite flow checks account match first.</li>
<li>Pending invites and active guardians are separate states.</li>
<li>Invite actions refresh family data.</li>
<li>Actions apply per child context.</li>
</ul>

<h2>Access and visibility rules</h2>
<ul>
<li>Managed by parent role users in Settings.</li>
<li>Child-level scope is enforced.</li>
<li>Org policy governs final accepted behavior.</li>
</ul>

<h2>Common edge cases and fast fixes</h2>
<ul>
<li>Already linked: do not create new invite.</li>
<li>Invalid email: correct format.</li>
<li>Resend failure: retry once.</li>
<li>Wrong child invite: cancel and recreate.</li>
</ul>

<h2>You are done when</h2>
<ul>
<li>Active guardians are correct per child.</li>
<li>Stale pending invites are removed.</li>
<li>Family access mirrors real responsibilities.</li>
</ul>

<p>YouthSports is designed to keep family logistics clear, fast, and reliable across the season.</p>","Invite, resend, and cancel guardian invites in Family settings.","invite-another-guardian-and-manage-pending-invites","publish","","5","admin","2026-02-19 08:10:00","closed","closed","Help, Guardians, Getting Started","guardians,invites,family,permissions,settings,athletes","Getting Started","Guardians"
"","Pay Multiple Fees in One Checkout Session","<h1>Pay Multiple Fees in One Checkout Session</h1>
<p>YouthSports lets families clear multiple open balances in one fast checkout flow.</p>
<p>This article is written for real YouthSports workflows, not generic software steps.</p>

<h2>Before you start</h2>
<ul>
<li>Open /portal/payments and review open items.</li>
<li>Filter by child, team, or status.</li>
<li>Have discount code ready if applicable.</li>
</ul>

<h2>Step-by-step workflow</h2>
<ol>
<li>Select one or more open assignments.</li>
<li>Apply discount code and confirm validation.</li>
<li>Review selected total.</li>
<li>Click Pay to launch checkout.</li>
<li>Complete payment and return to payments page.</li>
</ol>

<h2>What controls this workflow</h2>
<ul>
<li>Discount is validated at apply and before checkout.</li>
<li>Only selected assignments are sent to checkout.</li>
<li>Checkout session URL must be created successfully.</li>
<li>Balance refresh can lag briefly after payment.</li>
</ul>

<h2>Access and visibility rules</h2>
<ul>
<li>Route requires parent or athlete with payment entitlement.</li>
<li>Assignments are scoped to your visible context.</li>
<li>Org billing policy controls item behavior.</li>
</ul>

<h2>Common edge cases and fast fixes</h2>
<ul>
<li>No selection: choose at least one fee.</li>
<li>Invalid discount: remove or replace code.</li>
<li>Checkout failure: retry once.</li>
<li>Stale status: refresh after short delay.</li>
</ul>

<h2>You are done when</h2>
<ul>
<li>Checkout completes without validation errors.</li>
<li>Selected balances reduce correctly.</li>
<li>No unintended assignments were charged.</li>
</ul>

<p>YouthSports is designed to keep family logistics clear, fast, and reliable across the season.</p>","Select open fees, apply discount codes, and pay in one checkout.","pay-multiple-fees-in-one-checkout-session","publish","","6","admin","2026-02-19 08:10:00","closed","closed","Help, Guardians, Payments","payments,checkout,fees,discount-codes,guardians,billing","Payments","Guardians"
"","Make Partial Payments Without Validation Errors","<h1>Make Partial Payments Without Validation Errors</h1>
<p>Partial payment is supported when both org policy and fee settings allow it.</p>
<p>This article is written for real YouthSports workflows, not generic software steps.</p>

<h2>Before you start</h2>
<ul>
<li>Find a fee with Pay Partial action.</li>
<li>Review minimum and remaining amount.</li>
<li>Enter exact amount you plan to pay now.</li>
</ul>

<h2>Step-by-step workflow</h2>
<ol>
<li>Open Pay Partial from eligible fee card.</li>
<li>Read total, paid, and remaining values.</li>
<li>Enter amount between minimum and remaining.</li>
<li>Submit to partial checkout.</li>
<li>Complete payment and verify remaining balance.</li>
</ol>

<h2>What controls this workflow</h2>
<ul>
<li>Org policy must allow partial payments.</li>
<li>Fee must allow partial payment.</li>
<li>Minimum is enforced at ten percent of total fee.</li>
<li>Amount cannot exceed remaining balance.</li>
</ul>

<h2>Access and visibility rules</h2>
<ul>
<li>Partial button only appears when policy and fee flags align.</li>
<li>Payment entitlement still required.</li>
<li>Validation runs before checkout session starts.</li>
</ul>

<h2>Common edge cases and fast fixes</h2>
<ul>
<li>No partial button: policy or fee flag disabled.</li>
<li>Amount too low: increase to minimum.</li>
<li>Amount too high: reduce to remaining balance.</li>
<li>Checkout error: retry once then contact billing.</li>
</ul>

<h2>You are done when</h2>
<ul>
<li>Partial payment posts successfully.</li>
<li>Remaining balance is reduced accurately.</li>
<li>Assignment status remains consistent.</li>
</ul>

<p>YouthSports is designed to keep family logistics clear, fast, and reliable across the season.</p>","Pay part of a fee while staying inside policy limits.","make-partial-payments-without-validation-errors","publish","","7","admin","2026-02-19 08:10:00","closed","closed","Help, Guardians, Payments","payments,partial-payments,billing,balances,fees,guardians","Payments","Guardians"
"","Use Payment Details, Receipts, and Billing Contact Actions","<h1>Use Payment Details, Receipts, and Billing Contact Actions</h1>
<p>Payment Detail gives line-level transparency for one assignment from charge to receipt.</p>
<p>This article is written for real YouthSports workflows, not generic software steps.</p>

<h2>Before you start</h2>
<ul>
<li>Open fee detail from /portal/payments.</li>
<li>Check status and due date first.</li>
<li>Use paid assignments for receipt actions.</li>
</ul>

<h2>Step-by-step workflow</h2>
<ol>
<li>Open /portal/payments/{id}.</li>
<li>Review total, paid, and remaining values.</li>
<li>Download receipt for paid assignment.</li>
<li>Use Contact Billing to open prefilled email.</li>
<li>Return and recheck status after updates.</li>
</ol>

<h2>What controls this workflow</h2>
<ul>
<li>Receipt generation is paid-state dependent.</li>
<li>Billing contact uses org category with fallback.</li>
<li>Detail requires assignment access in your scope.</li>
<li>Recent payment sync may take a short moment.</li>
</ul>

<h2>Access and visibility rules</h2>
<ul>
<li>Route is protected by payment entitlement.</li>
<li>Only in-scope assignments are returned.</li>
<li>Contact destination depends on org setup.</li>
</ul>

<h2>Common edge cases and fast fixes</h2>
<ul>
<li>Receipt unavailable: verify paid status.</li>
<li>No billing email: org fallback may be empty.</li>
<li>Access denied: assignment outside scope.</li>
<li>Status delay: refresh after short wait.</li>
</ul>

<h2>You are done when</h2>
<ul>
<li>You can confirm exact assignment status.</li>
<li>Receipt opens for paid items.</li>
<li>Billing questions route correctly.</li>
</ul>

<p>YouthSports is designed to keep family logistics clear, fast, and reliable across the season.</p>","Open fee detail, download receipts, and contact billing quickly.","use-payment-details-receipts-and-billing-contact-actions","publish","","8","admin","2026-02-19 08:10:00","closed","closed","Help, Guardians, Payments","payments,receipts,billing-support,fees,history,guardians","Payments","Guardians"
"","Find Events Faster with Calendar Filters and Fan View","<h1>Find Events Faster with Calendar Filters and Fan View</h1>
<p>Calendar is most useful when you control scope by child, team, event type, and fan context.</p>
<p>This article is written for real YouthSports workflows, not generic software steps.</p>

<h2>Before you start</h2>
<ul>
<li>Open /portal/calendar.</li>
<li>Choose agenda, week, or month view.</li>
<li>Decide whether you need fan view.</li>
</ul>

<h2>Step-by-step workflow</h2>
<ol>
<li>Set date and view mode.</li>
<li>Apply team, child, and type filters.</li>
<li>Toggle Fan View when needed.</li>
<li>Open event modal from list or grid.</li>
<li>Use View Details for full event actions.</li>
</ol>

<h2>What controls this workflow</h2>
<ul>
<li>Filter state syncs to URL params.</li>
<li>Fan View uses a separate source feed.</li>
<li>Server-side filtering controls list payload.</li>
<li>Canceled visibility follows filter setting.</li>
</ul>

<h2>Access and visibility rules</h2>
<ul>
<li>Route requires parent or athlete and entitlement.</li>
<li>Fan View utility depends on follows and bookmarks.</li>
<li>RSVP controls appear only on RSVP-enabled events.</li>
</ul>

<h2>Common edge cases and fast fixes</h2>
<ul>
<li>No events: clear filters and retry.</li>
<li>Fan View empty: add follows or bookmarks.</li>
<li>Wrong date: reset to current week.</li>
<li>Too much noise: narrow type filter.</li>
</ul>

<h2>You are done when</h2>
<ul>
<li>You can isolate this week priorities quickly.</li>
<li>Fan and family context switch is clear.</li>
<li>Detail navigation keeps planning momentum.</li>
</ul>

<p>YouthSports is designed to keep family logistics clear, fast, and reliable across the season.</p>","Use filters and fan view to focus on the events that matter.","find-events-faster-with-calendar-filters-and-fan-view","publish","","9","admin","2026-02-19 08:10:00","closed","closed","Help, Guardians, Events and Calendar","calendar,events,filters,fan-view,teams,children,guardians","Events and Calendar","Guardians"
"","RSVP Correctly for General and Athlete-Specific Events","<h1>RSVP Correctly for General and Athlete-Specific Events</h1>
<p>Different events require different RSVP behavior, and YouthSports supports both modes.</p>
<p>This article is written for real YouthSports workflows, not generic software steps.</p>

<h2>Before you start</h2>
<ul>
<li>Open event detail or modal.</li>
<li>Confirm RSVP is enabled.</li>
<li>Check whether mode is general or athlete-specific.</li>
</ul>

<h2>Step-by-step workflow</h2>
<ol>
<li>Open RSVP area.</li>
<li>Use general RSVP for family-level response.</li>
<li>Use athlete-specific RSVP for per-child response.</li>
<li>Wait for save state.</li>
<li>Reopen event to verify persisted values.</li>
</ol>

<h2>What controls this workflow</h2>
<ul>
<li>RSVP mode is event-configured by staff.</li>
<li>Canceled events disable RSVP updates.</li>
<li>Optimistic updates reconcile with server result.</li>
<li>Past-event windows may hide response controls.</li>
</ul>

<h2>Access and visibility rules</h2>
<ul>
<li>RSVP actions require authenticated role context.</li>
<li>Athlete-specific actions require visible child profiles.</li>
<li>Disabled RSVP events show no controls.</li>
</ul>

<h2>Common edge cases and fast fixes</h2>
<ul>
<li>Save failed: retry once.</li>
<li>Wrong child status: edit that athlete row.</li>
<li>No RSVP controls: disabled or canceled event.</li>
<li>Past lock: responses intentionally unavailable.</li>
</ul>

<h2>You are done when</h2>
<ul>
<li>Coach sees intended attendance signal.</li>
<li>Each child status is correct where needed.</li>
<li>No unresolved RSVP error remains.</li>
</ul>

<p>YouthSports is designed to keep family logistics clear, fast, and reliable across the season.</p>","Respond once or per athlete based on event RSVP mode.","rsvp-correctly-for-general-and-athlete-specific-events","publish","","10","admin","2026-02-19 08:10:00","closed","closed","Help, Guardians, Events and Calendar","calendar,rsvp,athletes,attendance,events,guardians","Events and Calendar","Guardians"
